Player,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,,,,,,,,,,
Roberto Firmino\4c370d81,46,1,1,30,16,5,46,,,,,,,,,,
Sadio Mané\c691bfe2,9,1,1,4,4,1,9,,,,,,,,,,
Diogo Jota\178ae8f8,49,2,3,24,23,3,49,,,,,,,,,,
Mohamed Salah\e342ad68,59,0,2,35,25,6,59,,,,,,,,,,
James Milner\2f90f6b8,13,0,2,12,0,0,12,,,,,,,,,,
Curtis Jones\4fb9c88f,75,0,2,59,18,3,75,,,,,,,,,,
Naby Keïta\f25c8e3a,41,0,6,26,12,2,40,,,,,,,,,,
Alex Oxlade-Chamberlain\38c7feef,33,0,2,25,7,0,32,,,,,,,,,,
Jordan Henderson\935e6b8f,139,3,13,123,8,0,136,,,,,,,,,,
Andrew Robertson\2e4f5f03,100,8,15,57,32,1,92,,,,,,,,,,
Virgil van Dijk\e06683ca,74,8,29,46,0,0,71,,,,,,,,,,
Ibrahima Konaté\5ed9b537,61,7,29,35,1,0,58,,,,,,,,,,
Trent Alexander-Arnold\cd1acf9d,112,0,11,89,15,2,103,,,,,,,,,,
Alisson\7a2e46a8,32,22,32,0,0,0,23,,,,,,,,,,
14 Players,843,52,148,565,161,23,805,,,,,,,,,,
